fid,extensao,consorcio,descricao_desvio,tipo_rota,shape_id,direcao,destino,servico,SHAPE__Length,tipo_dia
73,10655,MOBI-Rio,,regular,3ets,1,Bangu,68,10655.3946327799,U
74,25443,Intersul,,regular,3f1i,1,Usina,SN415,25443.3224471623,U
75,30694,Transcarioca,,regular,3i7l,1,Terminal Gentileza,301,30694.481621627,U
76,49492,Transcarioca,,regular,3iew,0,Castelo,361,49492.2661656958,U
77,30156,Transcarioca,,regular,3jos,0,Candelária,SP343,30156.7906727507,U
78,28630,Transcarioca,,regular,3lx5,0,Terminal Alvorada,301,28630.6799494649,U
79,17621,Internorte,,regular,3oh2,1,Engenho de Dentro,606,17621.6264285553,U
80,10465,Santa Cruz,,regular,3q7m,1,Jabour,SP803,10465.1542838104,U
81,24358,Intersul,,regular,3tih,0,Rodoviária,LECD127,24358.4484622752,U
82,19548,Internorte,,regular,3tti,0,Fundão,SP485,19548.8289955389,U
83,32283,Santa Cruz,,regular,3x18,1,Barra de Guaratiba,SN867,32283.6269411797,U
84,6085,Transcarioca,,regular,40537037-ecb8-4834-b47f-278af08fadd1,0,Terminal Taquara,831,6085.7019954065,U
85,21713,Internorte,,regular,41i6,1,Engenho de Dentro,SV606,21713.8604196198,U
86,21583,Internorte,,regular,42ke,1,Água Santa,SN238,21583.6078661259,U
87,37825,Internorte,,regular,42sa,1,Pavuna,399,37825.2693041691,U
88,26846,Transcarioca,,regular,4519964d-83d0-43bf-9da3-c1eb6cfcd2bb,1,Terminal Taquara,810,26846.0890256017,U
89,69916,Santa Cruz,,regular,47f1,0,Candelária,388,69916.3238737797,U
90,16218,Internorte,,regular,485l,1,Lins de Vasconcelos,232,16218.8451105653,U
91,13031,Santa Cruz,,regular,48cd2670-4edc-4a89-ae2b-f4bdd7f11d99,0,Circular,821,13031.5464063616,U
92,33097,Santa Cruz,,regular,49ff21ac-2dab-4583-81ff-337fafcab12c,1,Terminal Mato Alto,883,33097.9310948888,U
93,21406,Internorte,,regular,49n7,1,Cordovil,335,21406.7231080525,U
94,17724,Internorte,,regular,4b80,1,Madureira,975,17724.6349856111,U
95,13947,MOBI-Rio,,brt,4bir,1,Terminal Centro Olímpico,50,13947.6328127148,U
96,27893,Internorte,,regular,4c0e,1,Marechal Hermes,638,27893.9454741141,U
97,13998,Santa Cruz,,regular,4cwq,1,Urucânia,868,13998.5600277695,U
98,30739,Internorte,,regular,4dox,0,Penha,SV483,30739.3857027368,U
99,22819,Intersul,,regular,4e7e,1,Grajaú,422,22819.0052176483,U
100,28477,MOBI-Rio,,brt,4fxk,0,Terminal Alvorada,46,28477.1659698225,U
101,12173,Intersul,,regular,4gap,1,Central,107,12173.1695154755,U
102,75980,Santa Cruz,,frescao,4goj,1,Santa Cruz,2335,75980.7581827066,U
103,30167,Internorte,,regular,4hvc,1,Madureira,SN355,30167.816971295,U
104,33623,Santa Cruz,,regular,4idt,1,Realengo,SN383,33623.1916099088,U
105,6532,Santa Cruz,,regular,4k6g,1,Terminal Campo Grande,837,6532.70426936008,U
106,36909,Transcarioca,,regular,4laz,1,Riocentro,368,36909.3729749554,U
107,19716,Internorte,,regular,4olt,0,Candelária,SN312,19716.1528597931,U
108,54309,Santa Cruz,,frescao,4os2,0,Barra da Tijuca,2802,54309.4797330371,U
109,16949,Intersul,,regular,4rlb,0,Lido,473,16949.7754701768,U
110,21265,Internorte,,regular,4rq4,0,Saens Peña,630,21265.7460913112,U
111,48424,Transcarioca,,regular,4rzh,1,Central,315,48424.6192480496,U
112,38692,MOBI-Rio,,brt,4s1f,1,Santa Cruz,11,38692.5696826267,U
113,40861,Santa Cruz,,regular,4th2,0,Circular,852,40861.4886514933,U
114,20412,Internorte,,regular,4w0k,1,Engenho da Rainha,292,20412.3879206067,U
115,19806,Transcarioca,,regular,4wtm,1,Méier,678,19806.2628940706,U
116,23249,Intersul,,regular,4y0j,1,Méier,476,23249.70619662,U
117,26743,Transcarioca,,frescao,50ix,0,Castelo,2110,26743.0168328174,U
118,24256,Transcarioca,,regular,53fs,1,Riocentro,SPA613,24256.3178867444,U
119,11665,Intersul,,regular,5a65e29a-25a0-49e4-a861-1601b80d5a7b,1,Largo do Machado,133,11665.3846644876,U
120,31887,Transcarioca,,regular,5au5,0,Candelária,390,31887.9740944332,U
121,26627,Transcarioca,,regular,5d24b6b9-0c35-4068-861e-9cb6af288387,0,Pontal,810,26627.5183336487,U
